feature,coef_scaled,coef_real
fin_de_semana,206315.53012540215,11688365.880471213
dummy_2021,298761.36722583615,747980.2499853127
dummy_2022,157180.40897495032,321049.8164317844
dummy_2024,123498.58457421408,306996.11898382474
dummy_2023,85144.81309931705,173636.79265171953
rebajas_flag,4353.140544703613,10903.35406017393
payday_flag,2473.816502831291,6647.526139664269
temperatura_media_c,22119.24657415909,3647.9160660360685
lluvia_indice,38440.13775775686,3597.95733338433
tendencia,174859.4382194803,2320.8249363957134
turismo_indice,5282.263150198453,274.8336620352736
festivo_local_flag,-353.88271957120065,-1746.331537440767
vacaciones_flag,-1856.9800983916632,-4683.007853471145
semana_santa_flag,-1870.7270521024057,-15194.055745051213
incidencia_ecommerce,-4937.994931298928,-18843.06583049303
black_friday_flag,-6214.887594196588,-41313.77062517239
navidad_flag,-15970.711318777912,-68223.96550749906
